B	window	eval_start	eval_end	stratum	lens	build_docs	eval_docs	n_eligible	obs_total	null_mean	null_sd	z_seg	formed	binom_p	uninformative	null_kind	R	ratio	null_min	null_max	mc_p_lo	mc_p_hi	mc_p_2s	drift_reps	inc_before	inc_after	collapsed_frac	docs_changed	toks_changed
4	10	2022Q3	2022Q4	WSB	union	167095	88171	146	288	342.67	16.798246932343865	-3.2545062720048903	2	0.42948206577744236	0	stratified	100	0.8404587504012606	301.0	390.0	0.009900990099009901	1.0	0.019801980198019802	10	211529.0	194283.7	0.08152688283875964	7538.3	201.9
4	11	2022Q4	2023Q1	WSB	union	176479	59857	115	38	137.07	10.793752822813758	-9.178457356426106	0	1.0	0	stratified	100	0.27723061209600935	113.0	167.0	0.009900990099009901	1.0	0.019801980198019802	10	142115.0	135982.2	0.04315378390739886	3024.9	202.3
4	12	2023Q1	2023Q2	WSB	union	169345	49118	99	85	148.2	12.45391504708459	-5.074709419572831	0	1.0	0	stratified	100	0.5735492577597842	124.0	184.0	0.009900990099009901	1.0	0.019801980198019802	10	119878.0	114630.1	0.04377700662340041	2586.9	195.3
4	13	2023Q2	2023Q3	WSB	union	152146	45182	94	85	157.06	11.822706965834854	-6.095050838038895	0	1.0	0	stratified	100	0.541194447981663	129.0	190.0	0.009900990099009901	1.0	0.019801980198019802	10	113808.0	108409.1	0.04743866863489381	2636.2	192.2
4	14	2023Q3	2023Q4	WSB	union	137289	44496	103	59	118.64	10.120790482961299	-5.892820338530474	0	1.0	0	stratified	100	0.49730276466621715	90.0	144.0	0.009900990099009901	1.0	0.019801980198019802	10	105968.0	101618.4	0.041046353616186075	2205.5	186.3
4	15	2023Q4	2024Q1	WSB	union	105039	66411	78	324	479.56	19.667394336820525	-7.909537854171494	0	1.0	0	stratified	100	0.675619317707899	430.0	537.0	0.009900990099009901	1.0	0.019801980198019802	10	168761.0	159689.6	0.05375294054906047	4229.6	220.7
4	16	2024Q1	2024Q2	WSB	union	93614	83441	71	325	495.45	20.280224357733324	-8.404739365469762	2	0.1587742786796456	0	stratified	100	0.655969320819457	438.0	535.0	0.009900990099009901	1.0	0.019801980198019802	10	218376.0	205048.0	0.06103234787705609	6135.9	225.5
4	17	2024Q2	2024Q3	WSB	union	111593	70708	93	253	352.72	17.103847520368042	-5.830267130319591	0	1.0	0	stratified	100	0.7172828305738262	306.0	389.0	0.009900990099009901	1.0	0.019801980198019802	10	189765.0	178058.7	0.061688404078728894	5405.2	209.1
4	18	2024Q3	2024Q4	WSB	union	127937	68167	131	357	511.93	18.642025104585606	-8.310792369971114	0	1.0	0	stratified	100	0.6973609673197507	474.0	568.0	0.009900990099009901	1.0	0.019801980198019802	10	187114.0	175855.1	0.060171339397372695	5221.8	202.0
4	0	2020Q1	2020Q2	DD	union	28977	38412	63	189	313.71	17.319523665505354	-7.200544449636349	0	1.0	0	stratified	100	0.6024672468203118	276.0	356.0	0.009900990099009901	1.0	0.019801980198019802	10	81378.0	78614.9	0.03395389417287235	1706.2	150.3
4	1	2020Q2	2020Q3	DD	union	36914	44494	104	419	649.18	25.09118570335009	-9.173739444655544	0	1.0	0	stratified	100	0.645429618903848	582.0	707.0	0.009900990099009901	1.0	0.019801980198019802	10	106576.0	102273.7	0.04036837561927641	2465.7	170.4
4	2	2020Q3	2020Q4	DD	union	52696	45029	151	243	404.84	18.35849667047931	-8.815536637062483	0	1.0	0	stratified	100	0.6002371307183085	356.0	456.0	0.009900990099009901	1.0	0.019801980198019802	10	106740.0	101857.5	0.04574198988195616	2654.1	163.9
4	3	2020Q4	2021Q1	DD	union	67051	88385	145	570	725.84	23.463895669730547	-6.641693357043027	0	1.0	0	stratified	100	0.7852970351592637	667.0	790.0	0.009900990099009901	1.0	0.019801980198019802	10	188974.0	176770.0	0.06458031263560067	6366.4	177.0
4	4	2021Q1	2021Q2	DD	union	83441	94386	211	522	754.81	29.07462639484814	-8.007325591679919	2	0.6243766692931373	0	stratified	100	0.6915647646427578	687.0	822.0	0.009900990099009901	1.0	0.019801980198019802	10	198116.0	185935.4	0.06148216196571708	6368.2	180.7
4	5	2021Q2	2021Q3	DD	union	132879	51413	345	242	526.94	22.692210117130504	-12.556731959083038	0	1.0	0	stratified	100	0.45925532318670054	477.0	580.0	0.009900990099009901	1.0	0.019801980198019802	10	117326.0	113160.8	0.03550108245401699	2422.0	169.9
4	6	2021Q3	2021Q4	DD	union	139415	43956	272	136	351.78	19.035535190795137	-11.335641359027457	0	1.0	0	stratified	100	0.38660526465404516	302.0	389.0	0.009900990099009901	1.0	0.019801980198019802	10	104274.0	100920.3	0.03216237988376774	1987.3	162.0
4	7	2021Q4	2022Q1	DD	union	139798	43672	281	173	392.15	18.32177666057525	-11.961176258171859	0	1.0	0	stratified	100	0.4411577202601046	348.0	443.0	0.009900990099009901	1.0	0.019801980198019802	10	110953.0	107003.9	0.03559254819608308	2233.1	170.7
